.1.3.6.1.2.1.1.2.0 = OID: .1.3.6.1.4.1.1991.1.3.35.1.1.1.1
.1.3.6.1.4.1.1991.1.1.1.1.18.0 = INTEGER: 102
.1.3.6.1.4.1.1991.1.1.1.1.19.0 = INTEGER: 128
.1.3.6.1.4.1.1991.1.1.1.1.20.0 = INTEGER: 160
.1.3.6.1.4.1.1991.1.1.1.2.1.1.2.1 = Hex-STRING: 50 6F 77 65 72 20 73 75 70 70 6C 79 20 31 20 28 66 72 6F 6D 20 6C 65 66 74 20 77 68 65 6E 20 66 61 63 69 6E 67 20 62 61 63 6B 20 73 69 64 65 29 
.1.3.6.1.4.1.1991.1.1.1.2.1.1.3.1 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.3.1.1.3.1 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.1.3.1.1.3.2 = INTEGER: 2
.1.3.6.1.4.1.1991.1.1.2.1.54.0 = INTEGER: 111587328
.1.3.6.1.4.1.1991.1.1.2.1.55.0 = INTEGER: 78606336
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.1 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.5 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.60 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.11.1.1.4.1.1.300 = Gauge32: 1
.1.3.6.1.4.1.1991.1.1.2.13.1.1.4.1.1 = INTEGER: 77
.1.3.6.1.4.1.1991.1.1.2.13.1.1.4.1.2 = INTEGER: 101
